Heating,DHWSystem,Doors,Windows,ACH,AboveGradeWall,FoundationWall,AtticCeilings,Electricity-kWh,NG-GJ
NGF_65%,NGtank,Solidwood,Single_pane,12,8.49,10.16,8.47,9208.6,203.6002
NGF_92%,NGtank,Solidwood,Single_pane,12,8.49,10.16,8.47,9208.4,144.5824
ASHP2,NGtank,Solidwood,Single_pane,12,8.49,10.16,8.47,23491.4,36.3508
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,8.49,10.16,8.47,9219.7,196.7678
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,8.49,10.16,8.47,9219.5,135.5536
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,8.49,10.16,8.47,23865.9,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,10.16,8.47,15467.2,171.4826
NGF_92%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,10.16,8.47,15466.9,110.3292
ASHP2,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,10.16,8.47,30097.7,0
NGF_65%,ElectricHP,Solidwood,Single_pane,12,8.49,10.16,8.47,12225.5,172.596
NGF_92%,ElectricHP,Solidwood,Single_pane,12,8.49,10.16,8.47,12225.3,111.1044
ASHP2,ElectricHP,Solidwood,Single_pane,12,8.49,10.16,8.47,26949.6,0
NGF_65%,NGtank,Solidwood,Single_pane,12,8.49,10.16,40,9124.5,176.3124
NGF_92%,NGtank,Solidwood,Single_pane,12,8.49,10.16,40,9124.3,127.7218
ASHP2,NGtank,Solidwood,Single_pane,12,8.49,10.16,40,21463.2,36.3774
NGF_65%,GasInstantaneous,Solidwood,Single_pane,12,8.49,10.16,40,9135.2,168.948
NGF_92%,GasInstantaneous,Solidwood,Single_pane,12,8.49,10.16,40,9134.9,118.5866
ASHP2,GasInstantaneous,Solidwood,Single_pane,12,8.49,10.16,40,21745.1,25.08
NGF_65%,elec_convential_tank_ef0.89,Solidwood,Single_pane,12,8.49,10.16,40,15384.5,143.6438
